staff_skill_id,staff_id,skill_id,verification_status
1,1,1,VERIFIED
2,1,3,VERIFIED
3,1,14,VERIFIED
4,1,15,VERIFIED
5,2,2,VERIFIED
6,2,3,VERIFIED
7,2,11,VERIFIED
8,2,12,VERIFIED
9,2,14,VERIFIED
10,3,4,VERIFIED
11,3,11,VERIFIED
12,3,14,VERIFIED
13,4,5,VERIFIED
14,4,11,VERIFIED
15,4,14,VERIFIED
16,5,11,VERIFIED
17,5,14,VERIFIED
18,6,6,VERIFIED
19,6,11,VERIFIED
20,6,12,VERIFIED
21,7,8,VERIFIED
22,7,13,VERIFIED
23,8,7,VERIFIED
24,8,14,VERIFIED
25,9,9,VERIFIED
26,9,10,VERIFIED
27,9,13,VERIFIED
28,10,1,VERIFIED
29,10,3,VERIFIED
30,10,14,VERIFIED
31,10,15,VERIFIED
32,11,2,VERIFIED
33,11,3,VERIFIED
34,11,10,VERIFIED
35,11,11,VERIFIED
36,11,12,VERIFIED
37,11,14,VERIFIED
38,12,4,VERIFIED
39,12,11,VERIFIED
40,12,14,VERIFIED
41,13,5,VERIFIED
42,13,10,VERIFIED
43,13,11,VERIFIED
44,13,14,VERIFIED
45,14,11,VERIFIED
46,14,14,VERIFIED
47,15,6,VERIFIED
48,15,11,VERIFIED
49,15,12,VERIFIED
50,16,8,VERIFIED
51,16,10,VERIFIED
52,16,13,VERIFIED
53,17,7,VERIFIED
54,17,10,VERIFIED
55,17,14,VERIFIED
56,18,9,VERIFIED
57,18,13,VERIFIED
58,19,1,VERIFIED
59,19,3,VERIFIED
60,19,14,VERIFIED
61,19,15,VERIFIED
62,20,2,VERIFIED
63,20,3,VERIFIED
64,20,11,VERIFIED
65,20,12,VERIFIED
66,20,14,VERIFIED
67,21,4,VERIFIED
68,21,10,VERIFIED
69,21,11,VERIFIED
70,21,14,VERIFIED
71,22,5,VERIFIED
72,22,11,VERIFIED
73,22,14,VERIFIED
74,23,11,VERIFIED
75,23,14,VERIFIED
76,24,6,VERIFIED
77,24,11,VERIFIED
78,24,12,VERIFIED
79,25,8,VERIFIED
80,25,13,VERIFIED
81,26,7,VERIFIED
82,26,10,VERIFIED
83,26,14,VERIFIED
84,27,9,VERIFIED
85,27,13,VERIFIED
86,28,1,VERIFIED
87,28,3,VERIFIED
88,28,14,VERIFIED
89,28,15,VERIFIED
90,29,2,VERIFIED
91,29,3,VERIFIED
92,29,10,VERIFIED
93,29,11,VERIFIED
94,29,12,VERIFIED
95,29,14,VERIFIED
96,30,4,VERIFIED
97,30,11,VERIFIED
98,30,14,VERIFIED
99,31,5,VERIFIED
100,31,11,VERIFIED
101,31,14,VERIFIED
102,32,10,VERIFIED
103,32,11,VERIFIED
104,32,14,VERIFIED
105,33,6,VERIFIED
106,33,11,VERIFIED
107,33,12,VERIFIED
108,34,8,VERIFIED
109,34,13,VERIFIED
110,35,7,VERIFIED
111,35,10,VERIFIED
112,35,14,VERIFIED
113,36,9,VERIFIED
114,36,13,VERIFIED
115,37,1,VERIFIED
116,37,3,VERIFIED
117,37,14,VERIFIED
118,37,15,VERIFIED
119,38,2,VERIFIED
120,38,3,VERIFIED
121,38,11,VERIFIED
122,38,12,VERIFIED
123,38,14,VERIFIED
124,39,4,VERIFIED
125,39,11,VERIFIED
126,39,14,VERIFIED
127,40,5,VERIFIED
128,40,11,VERIFIED
129,40,14,VERIFIED
130,41,11,VERIFIED
131,41,14,VERIFIED
132,42,6,VERIFIED
133,42,11,VERIFIED
134,42,12,VERIFIED
135,43,8,VERIFIED
136,43,13,VERIFIED
137,44,7,VERIFIED
138,44,14,VERIFIED
139,45,9,VERIFIED
140,45,10,VERIFIED
141,45,13,VERIFIED
142,46,1,VERIFIED
143,46,3,VERIFIED
