assignment_id,shift_id,staff_id,assignment_status,assigned_by
1,1,19,ASSIGNED,SYSTEM
2,1,46,ASSIGNED,SYSTEM
3,1,1,ASSIGNED,SYSTEM
4,1,64,ASSIGNED,SYSTEM
5,1,37,ASSIGNED,SYSTEM
6,1,82,ASSIGNED,SYSTEM
7,1,55,ASSIGNED,SYSTEM
8,1,10,ASSIGNED,SYSTEM
9,2,82,ASSIGNED,SYSTEM
10,2,19,ASSIGNED,SYSTEM
11,2,1,ASSIGNED,SYSTEM
12,2,73,ASSIGNED,SYSTEM
13,2,28,ASSIGNED,SYSTEM
14,2,55,ASSIGNED,SYSTEM
15,2,46,ASSIGNED,SYSTEM
16,2,37,ASSIGNED,SYSTEM
17,3,1,ASSIGNED,SYSTEM
18,3,55,ASSIGNED,SYSTEM
19,3,64,ASSIGNED,SYSTEM
20,3,73,ASSIGNED,SYSTEM
21,3,82,ASSIGNED,SYSTEM
22,3,10,ASSIGNED,SYSTEM
23,3,28,ASSIGNED,SYSTEM
24,3,46,ASSIGNED,SYSTEM
25,4,47,ASSIGNED,SYSTEM
26,4,74,ASSIGNED,SYSTEM
27,4,56,ASSIGNED,SYSTEM
28,4,38,ASSIGNED,SYSTEM
29,4,29,ASSIGNED,SYSTEM
30,4,20,ASSIGNED,SYSTEM
31,4,83,ASSIGNED,SYSTEM
32,4,65,ASSIGNED,SYSTEM
33,4,11,ASSIGNED,SYSTEM
34,5,65,ASSIGNED,SYSTEM
35,5,38,ASSIGNED,SYSTEM
36,5,56,ASSIGNED,SYSTEM
37,5,74,ASSIGNED,SYSTEM
38,5,2,ASSIGNED,SYSTEM
39,5,83,ASSIGNED,SYSTEM
40,5,29,ASSIGNED,SYSTEM
41,5,11,ASSIGNED,SYSTEM
42,5,20,ASSIGNED,SYSTEM
43,5,47,ASSIGNED,SYSTEM
44,6,47,ASSIGNED,SYSTEM
45,6,2,ASSIGNED,SYSTEM
46,6,20,ASSIGNED,SYSTEM
47,6,11,ASSIGNED,SYSTEM
48,6,56,ASSIGNED,SYSTEM
49,6,83,ASSIGNED,SYSTEM
50,6,29,ASSIGNED,SYSTEM
51,6,65,ASSIGNED,SYSTEM
52,6,74,ASSIGNED,SYSTEM
53,6,38,ASSIGNED,SYSTEM
54,7,48,ASSIGNED,SYSTEM
55,7,57,ASSIGNED,SYSTEM
56,7,39,ASSIGNED,SYSTEM
57,7,12,ASSIGNED,SYSTEM
58,7,84,ASSIGNED,SYSTEM
59,7,3,ASSIGNED,SYSTEM
60,8,21,ASSIGNED,SYSTEM
61,8,84,ASSIGNED,SYSTEM
62,8,39,ASSIGNED,SYSTEM
63,8,66,ASSIGNED,SYSTEM
64,8,3,ASSIGNED,SYSTEM
65,8,75,ASSIGNED,SYSTEM
66,9,84,ASSIGNED,SYSTEM
67,9,3,ASSIGNED,SYSTEM
68,9,39,ASSIGNED,SYSTEM
69,9,21,ASSIGNED,SYSTEM
70,9,66,ASSIGNED,SYSTEM
71,9,30,ASSIGNED,SYSTEM
72,10,76,ASSIGNED,SYSTEM
73,10,67,ASSIGNED,SYSTEM
74,10,49,ASSIGNED,SYSTEM
75,10,40,ASSIGNED,SYSTEM
76,10,4,ASSIGNED,SYSTEM
77,10,31,ASSIGNED,SYSTEM
78,11,76,ASSIGNED,SYSTEM
79,11,40,ASSIGNED,SYSTEM
80,11,58,ASSIGNED,SYSTEM
81,11,67,ASSIGNED,SYSTEM
82,11,31,ASSIGNED,SYSTEM
83,11,13,ASSIGNED,SYSTEM
84,12,4,ASSIGNED,SYSTEM
85,12,13,ASSIGNED,SYSTEM
86,12,67,ASSIGNED,SYSTEM
87,12,76,ASSIGNED,SYSTEM
88,12,58,ASSIGNED,SYSTEM
89,12,40,ASSIGNED,SYSTEM
90,13,41,ASSIGNED,SYSTEM
91,13,32,ASSIGNED,SYSTEM
92,13,50,ASSIGNED,SYSTEM
93,13,77,ASSIGNED,SYSTEM
94,13,23,ASSIGNED,SYSTEM
95,13,86,ASSIGNED,SYSTEM
96,13,68,ASSIGNED,SYSTEM
97,13,59,ASSIGNED,SYSTEM
98,14,41,ASSIGNED,SYSTEM
99,14,68,ASSIGNED,SYSTEM
100,14,32,ASSIGNED,SYSTEM
101,14,14,ASSIGNED,SYSTEM
102,14,59,ASSIGNED,SYSTEM
103,14,23,ASSIGNED,SYSTEM
104,14,86,ASSIGNED,SYSTEM
105,14,50,ASSIGNED,SYSTEM
106,15,86,ASSIGNED,SYSTEM
107,15,5,ASSIGNED,SYSTEM
108,15,23,ASSIGNED,SYSTEM
109,15,14,ASSIGNED,SYSTEM
110,15,41,ASSIGNED,SYSTEM
111,15,68,ASSIGNED,SYSTEM
112,15,32,ASSIGNED,SYSTEM
113,15,77,ASSIGNED,SYSTEM
114,16,60,ASSIGNED,SYSTEM
115,16,15,ASSIGNED,SYSTEM
116,16,6,ASSIGNED,SYSTEM
117,16,51,ASSIGNED,SYSTEM
118,16,78,ASSIGNED,SYSTEM
119,16,87,ASSIGNED,SYSTEM
120,16,42,ASSIGNED,SYSTEM
121,16,33,ASSIGNED,SYSTEM
122,17,42,ASSIGNED,SYSTEM
123,17,33,ASSIGNED,SYSTEM
124,17,78,ASSIGNED,SYSTEM
125,17,15,ASSIGNED,SYSTEM
126,17,60,ASSIGNED,SYSTEM
127,17,51,ASSIGNED,SYSTEM
128,17,69,ASSIGNED,SYSTEM
129,17,6,ASSIGNED,SYSTEM
130,18,6,ASSIGNED,SYSTEM
131,18,87,ASSIGNED,SYSTEM
132,18,78,ASSIGNED,SYSTEM
133,18,42,ASSIGNED,SYSTEM
134,18,33,ASSIGNED,SYSTEM
135,18,51,ASSIGNED,SYSTEM
136,18,69,ASSIGNED,SYSTEM
137,18,15,ASSIGNED,SYSTEM
138,19,7,ASSIGNED,SYSTEM
139,19,79,ASSIGNED,SYSTEM
140,19,16,ASSIGNED,SYSTEM
141,19,52,ASSIGNED,SYSTEM
142,19,61,ASSIGNED,SYSTEM
143,20,16,ASSIGNED,SYSTEM
144,20,52,ASSIGNED,SYSTEM
145,20,79,ASSIGNED,SYSTEM
146,20,88,ASSIGNED,SYSTEM
147,20,70,ASSIGNED,SYSTEM
148,21,52,ASSIGNED,SYSTEM
149,21,16,ASSIGNED,SYSTEM
150,21,34,ASSIGNED,SYSTEM
151,21,7,ASSIGNED,SYSTEM
152,21,25,ASSIGNED,SYSTEM
153,22,35,ASSIGNED,SYSTEM
154,22,62,ASSIGNED,SYSTEM
155,22,44,ASSIGNED,SYSTEM
156,22,26,ASSIGNED,SYSTEM
157,22,80,ASSIGNED,SYSTEM
158,23,89,ASSIGNED,SYSTEM
159,23,44,ASSIGNED,SYSTEM
160,23,62,ASSIGNED,SYSTEM
161,23,26,ASSIGNED,SYSTEM
162,23,8,ASSIGNED,SYSTEM
163,24,71,ASSIGNED,SYSTEM
164,24,17,ASSIGNED,SYSTEM
165,24,26,ASSIGNED,SYSTEM
166,24,89,ASSIGNED,SYSTEM
167,25,72,ASSIGNED,SYSTEM
168,25,81,ASSIGNED,SYSTEM
169,25,36,ASSIGNED,SYSTEM
170,25,90,ASSIGNED,SYSTEM
171,26,36,ASSIGNED,SYSTEM
172,26,63,ASSIGNED,SYSTEM
173,26,18,ASSIGNED,SYSTEM
174,26,54,ASSIGNED,SYSTEM
175,27,9,ASSIGNED,SYSTEM
176,27,36,ASSIGNED,SYSTEM
177,27,45,ASSIGNED,SYSTEM
178,27,72,ASSIGNED,SYSTEM
179,28,94,ASSIGNED,SYSTEM
180,28,97,ASSIGNED,SYSTEM
181,28,93,ASSIGNED,SYSTEM
182,28,92,ASSIGNED,SYSTEM
183,28,99,ASSIGNED,SYSTEM
184,29,95,ASSIGNED,SYSTEM
185,29,97,ASSIGNED,SYSTEM
186,29,91,ASSIGNED,SYSTEM
187,29,94,ASSIGNED,SYSTEM
188,29,92,ASSIGNED,SYSTEM
189,30,98,ASSIGNED,SYSTEM
190,30,91,ASSIGNED,SYSTEM
191,30,100,ASSIGNED,SYSTEM
192,30,97,ASSIGNED,SYSTEM
193,31,82,ASSIGNED,SYSTEM
194,31,10,ASSIGNED,SYSTEM
195,31,55,ASSIGNED,SYSTEM
196,31,1,ASSIGNED,SYSTEM
197,31,73,ASSIGNED,SYSTEM
198,31,46,ASSIGNED,SYSTEM
199,31,37,ASSIGNED,SYSTEM
200,32,37,ASSIGNED,SYSTEM
201,32,73,ASSIGNED,SYSTEM
202,32,82,ASSIGNED,SYSTEM
203,32,64,ASSIGNED,SYSTEM
204,32,46,ASSIGNED,SYSTEM
205,32,55,ASSIGNED,SYSTEM
206,32,28,ASSIGNED,SYSTEM
207,32,19,ASSIGNED,SYSTEM
208,33,73,ASSIGNED,SYSTEM
209,33,46,ASSIGNED,SYSTEM
210,33,1,ASSIGNED,SYSTEM
211,33,28,ASSIGNED,SYSTEM
212,33,37,ASSIGNED,SYSTEM
213,33,10,ASSIGNED,SYSTEM
214,33,19,ASSIGNED,SYSTEM
215,33,64,ASSIGNED,SYSTEM
216,34,29,ASSIGNED,SYSTEM
217,34,11,ASSIGNED,SYSTEM
218,34,20,ASSIGNED,SYSTEM
219,34,74,ASSIGNED,SYSTEM
220,34,2,ASSIGNED,SYSTEM
221,34,83,ASSIGNED,SYSTEM
222,34,38,ASSIGNED,SYSTEM
223,34,47,ASSIGNED,SYSTEM
224,34,56,ASSIGNED,SYSTEM
225,34,65,ASSIGNED,SYSTEM
226,35,74,ASSIGNED,SYSTEM
227,35,11,ASSIGNED,SYSTEM
228,35,29,ASSIGNED,SYSTEM
229,35,65,ASSIGNED,SYSTEM
230,35,2,ASSIGNED,SYSTEM
231,35,83,ASSIGNED,SYSTEM
232,35,20,ASSIGNED,SYSTEM
233,35,47,ASSIGNED,SYSTEM
234,35,38,ASSIGNED,SYSTEM
235,35,56,ASSIGNED,SYSTEM
236,36,56,ASSIGNED,SYSTEM
237,36,2,ASSIGNED,SYSTEM
238,36,83,ASSIGNED,SYSTEM
239,36,47,ASSIGNED,SYSTEM
240,36,11,ASSIGNED,SYSTEM
241,36,20,ASSIGNED,SYSTEM
242,36,38,ASSIGNED,SYSTEM
243,36,74,ASSIGNED,SYSTEM
244,36,29,ASSIGNED,SYSTEM
245,36,65,ASSIGNED,SYSTEM
246,37,57,ASSIGNED,SYSTEM
247,37,75,ASSIGNED,SYSTEM
248,37,21,ASSIGNED,SYSTEM
249,37,48,ASSIGNED,SYSTEM
250,37,39,ASSIGNED,SYSTEM
251,37,66,ASSIGNED,SYSTEM
252,38,84,ASSIGNED,SYSTEM
253,38,75,ASSIGNED,SYSTEM
254,38,57,ASSIGNED,SYSTEM
255,38,66,ASSIGNED,SYSTEM
256,38,3,ASSIGNED,SYSTEM
257,38,12,ASSIGNED,SYSTEM
258,39,21,ASSIGNED,SYSTEM
259,39,39,ASSIGNED,SYSTEM
260,39,75,ASSIGNED,SYSTEM
261,39,66,ASSIGNED,SYSTEM
262,39,57,ASSIGNED,SYSTEM
263,39,84,ASSIGNED,SYSTEM
264,40,67,ASSIGNED,SYSTEM
265,40,58,ASSIGNED,SYSTEM
266,40,85,ASSIGNED,SYSTEM
267,40,49,ASSIGNED,SYSTEM
268,40,4,ASSIGNED,SYSTEM
269,41,31,ASSIGNED,SYSTEM
270,41,76,ASSIGNED,SYSTEM
271,41,13,ASSIGNED,SYSTEM
272,41,85,ASSIGNED,SYSTEM
273,41,67,ASSIGNED,SYSTEM
274,41,4,ASSIGNED,SYSTEM
275,42,85,ASSIGNED,SYSTEM
